id,nombre,grupo,categoria,alcaldia,fecha_decreto,fecha_decreto_iso,superficie,programa_manejo,fecha_pm,fecha_pm_iso,suelo_conservacion,observaciones
001,Alameda del Sur,AVA · Bosque Urbano,Bosque Urbano,Coyoacán,05/07/2024,2024-07-05,11.13,No,—,,No,
002,"Bosque de Chapultepec (1a, 2a, 3a y 4a secciones)",AVA · Bosque Urbano,Bosque Urbano,"Miguel Hidalgo, Álvaro Obregón",31/08/2023,2023-08-31,866.01,Sí,21/08/2024,2024-08-21,No,
003,Bosque de Nativitas,AVA · Bosque Urbano,Bosque Urbano,Xochimilco,10/06/2010,2010-06-10,19.28,Sí,12/08/2014,2014-08-12,No,
004,Bosque de San Luis Tlaxialtemalco,AVA · Bosque Urbano,Bosque Urbano,Xochimilco,04/08/2008,2008-08-04,3.83,Sí,23/07/2014,2014-07-23,No,
005,Canal Nacional,AVA · Bosque Urbano,Bosque Urbano,"Coyoacán, Iztapalapa, Xochimilco",15/06/2022,2022-06-15,32.32,Sí,23/01/2025,2025-01-23,No,
006,Cerro de Zacatepetl,AVA · Bosque Urbano,Bosque Urbano,Coyoacán,23/04/2003,2003-04-23,31.93,Sí,31/07/2018,2018-07-31,No,
007,Gran Canal (Ave Fénix),AVA · Bosque Urbano,Bosque Urbano,Venustiano Carranza,05/06/2024,2024-06-05,8.78,No,—,,No,
008,Jardín López Velarde,AVA · Bosque Urbano,Bosque Urbano,Cuauhtémoc,05/06/2024,2024-06-05,8.10,No,—,,No,
009,Loreto y Peña Pobre,AVA · Bosque Urbano,Bosque Urbano,Tlalpan,04/06/2024,2024-06-04,2.12,No,—,,No,
010,Parque Cuitláhuac Sur y Norte,AVA · Bosque Urbano,Bosque Urbano,Iztapalapa,05/06/2024,2024-06-05,123.50,No,—,,No,
011,Parque Lineal Vicente Guerrero,AVA · Bosque Urbano,Bosque Urbano,Iztapalapa,05/06/2024,2024-06-05,21.98,No,—,,No,
012,San Juan de Aragón,AVA · Bosque Urbano,Bosque Urbano,Gustavo A. Madero,12/12/2008,2008-12-12,160.18,Sí,31/05/2018,2018-05-31,No,
013,Tepepolco,AVA · Bosque Urbano,Bosque Urbano,Iztapalapa,17/07/2024,2024-07-17,19.54,No,—,,No,
