id,nombre,grupo,categoria,alcaldia,fecha_decreto,fecha_decreto_iso,superficie,programa_manejo,fecha_pm,fecha_pm_iso,suelo_conservacion,dg_responsable
1,Alameda del Sur,AVA · Bosque Urbano,Bosque Urbano,Coyoacán,05/07/2024,05/07/2024,11.13,No,—,,No,DGSANPAVA
2,"Bosque de Chapultepec (1a, 2a, 3a y 4a secciones)",AVA · Bosque Urbano,Bosque Urbano,"Miguel Hidalgo, Álvaro Obregón",31/08/2023,31/08/2023,866.01,Sí,21/08/2024,21/08/2024,No,DGSANPAVA
3,Bosque de Nativitas,AVA · Bosque Urbano,Bosque Urbano,Xochimilco,10/06/2010,10/06/2010,19.28,Sí,12/08/2014,12/08/2014,No,DGSANPAVA
4,Bosque de San Luis Tlaxialtemalco,AVA · Bosque Urbano,Bosque Urbano,Xochimilco,04/08/2008,04/08/2008,3.83,Sí,23/07/2014,23/07/2014,No,DGSANPAVA
5,Canal Nacional,AVA · Bosque Urbano,Bosque Urbano,"Coyoacán, Iztapalapa, Xochimilco",15/06/2022,15/06/2022,32.32,Sí,23/01/2025,23/01/2025,No,DGSANPAVA
6,Cerro de Zacatepetl,AVA · Bosque Urbano,Bosque Urbano,Coyoacán,23/04/2003,23/04/2003,31.93,Sí,31/07/2018,31/07/2018,No,DGSANPAVA
7,Gran Canal (Ave Fénix),AVA · Bosque Urbano,Bosque Urbano,Venustiano Carranza,05/06/2024,05/06/2024,8.78,No,—,,No,DGSANPAVA
8,Jardín López Velarde,AVA · Bosque Urbano,Bosque Urbano,Cuauhtémoc,05/06/2024,05/06/2024,8.1,No,—,,No,DGSANPAVA
9,Loreto y Peña Pobre,AVA · Bosque Urbano,Bosque Urbano,Tlalpan,04/06/2024,04/06/2024,2.12,No,—,,No,DGSANPAVA
10,Parque Cuitláhuac Sur y Norte,AVA · Bosque Urbano,Bosque Urbano,Iztapalapa,05/06/2024,05/06/2024,123.5,No,—,,No,DGSANPAVA
11,Parque Lineal Vicente Guerrero,AVA · Bosque Urbano,Bosque Urbano,Iztapalapa,05/06/2024,05/06/2024,21.98,No,—,,No,DGSANPAVA
12,San Juan de Aragón,AVA · Bosque Urbano,Bosque Urbano,Gustavo A. Madero,12/12/2008,12/12/2008,160.18,Sí,31/05/2018,31/05/2018,No,DGSANPAVA
13,Tepepolco,AVA · Bosque Urbano,Bosque Urbano,Iztapalapa,17/07/2024,17/07/2024,19.54,No,—,,No,DGSANPAVA
14,Anzaldo,AVA · Barranca,Barranca,Álvaro Obregón,21/12/2011,21/12/2011,16.23,Sí,21/12/2011,21/12/2011,No,DGSANPAVA
15,Atzoyapan,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2011,28/11/2011,20.81,No,—,,Sí,DGSANPAVA
16,"Becerra Tepehuache, Sección La Loma",AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,122.38,Sí,28/11/2012,28/11/2012,No,DGSANPAVA
17,Bezares y El Castillo,AVA · Barranca,Barranca,Miguel Hidalgo,28/11/2011,28/11/2011,20.64,No,—,,No,DGSANPAVA
18,Coyotera,AVA · Barranca,Barranca,La Magdalena Contreras,15/06/2022,15/06/2022,10.62,No,—,,No,DGSANPAVA
19,Del Moral,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,22.86,No,—,,No,DGSANPAVA
20,Echánove,AVA · Barranca,Barranca,Cuajimalpa de Morelos,21/12/2011,21/12/2011,48.54,Sí,30/11/2012,30/11/2012,No,DGSANPAVA
21,El Zapote,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2011,01/12/2011,10.57,Sí,30/11/2012,30/11/2012,No,DGSANPAVA
22,Guadalupe,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,74.4,No,—,,No,DGSANPAVA
23,Hueyetlaco,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2011,01/12/2011,7.71,Sí,30/11/2012,30/11/2012,No,DGSANPAVA
24,Jalalpa,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,101.59,No,—,,No,DGSANPAVA
25,La Diferencia,AVA · Barranca,Barranca,Cuajimalpa de Morelos,15/06/2012,15/06/2012,29.33,Sí,03/12/2012,03/12/2012,No,DGSANPAVA
26,Las Margaritas,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2011,01/12/2011,4.56,Sí,03/12/2012,03/12/2012,No,DGSANPAVA
27,Magdalena Eslava,AVA · Barranca,Barranca,"Álvaro Obregón, La Magdalena Contreras",28/11/2012,28/11/2012,22.39,No,—,,Sí,DGSANPAVA
28,Milpa Vieja,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2011,01/12/2011,30.88,Sí,30/11/2012,30/11/2012,No,DGSANPAVA
29,Mimosas,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2011,01/12/2011,3.99,Sí,03/12/2012,03/12/2012,No,DGSANPAVA
30,Mixcoac,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,84.7,No,—,,No,DGSANPAVA
31,Pachuquilla,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2012,01/12/2012,20.58,Sí,03/12/2012,03/12/2012,Sí,DGSANPAVA
32,Río Becerra Tepehuache,AVA · Barranca,Barranca,Álvaro Obregón,15/06/2022,15/06/2022,34.55,Sí,30/11/2012,30/11/2012,No,DGSANPAVA
33,San Borja,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,23.66,No,—,,No,DGSANPAVA
34,Santa Rita,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2012,01/12/2012,3.03,Sí,03/12/2012,03/12/2012,No,DGSANPAVA
35,Tarango (Puerta Grande y Puerta Colorado),AVA · Barranca,Barranca,Álvaro Obregón,22/07/2009,22/07/2009,267.18,No,—,,No,DGSANPAVA
36,Tecamachalco,AVA · Barranca,Barranca,Miguel Hidalgo,23/12/2013,23/12/2013,11.83,Sí,23/12/2011,23/12/2011,No,DGSANPAVA
37,Texcalatlaco,AVA · Barranca,Barranca,"Álvaro Obregón, La Magdalena Contreras",28/11/2012,28/11/2012,24.42,No,—,,No,DGSANPAVA
38,Vista Hermosa,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,0.32,Sí,04/12/2012,04/12/2012,No,DGSANPAVA
39,Volta y Koch,AVA · Barranca,Barranca,Álvaro Obregón,15/06/2012,15/06/2012,1.82,Sí,26/11/2018,26/11/2018,No,DGSANPAVA
40,Bosque de las Lomas,ANP · Local,Zona Sujeta a Conservación Ecológica,Miguel Hidalgo,10/08/1994,10/08/1994,26.4,Sí,23/06/2017,23/06/2017,No,DGSANPAVA
41,Bosque de Tláhuac,ANP · Local,Zona de Protección Especial,Tláhuac,29/01/2024,29/01/2024,58.77,No,—,,Sí,DGSANPAVA
42,Bosque de Tlalpan,ANP · Local,Zona Ecológica y Cultural,Tlalpan,17/06/2011,17/06/2011,252.86,Sí,20/06/2011,20/06/2011,No,DGSANPAVA
58,Cerro de la Estrella (federal),ANP · Federal,Parque Nacional,Iztapalapa,24/08/1938,24/08/1938,1100,Sí,16/04/2007,16/04/2007,Sí,DGSANPAVA
43,Cerro de la Estrella (local),ANP · Local,Zona Ecológica y Cultural,Iztapalapa,02/11/2005,02/11/2005,121.77,Sí,06/04/2007,06/04/2007,Sí,DGSANPAVA
59,Cumbres del Ajusco,ANP · Federal,Parque Nacional,Tlalpan,26/08/1936,26/08/1936,920,No,—,,Sí,DGCORENADR
60,Desierto de los Leones,ANP · Federal,Parque Nacional,Cuajimalpa de Morelos,27/11/1917,27/11/1917,1529,Sí,22/05/2006,22/05/2006,Sí,DGSANPAVA
